,module,kME,kIN,rename
LPC P-18_1,skyblue,0.897273043228968,0.346169704200207,M30-LPC P-18_1
LPC O-18_1,white,0.863299311635184,0.239796255893222,M34-LPC O-18_1
LPC P-18_0,skyblue,0.925702749015288,0.421640782826845,M30-LPC P-18_0
LPC 17_0,violet,0.856265688548504,0.166977330458739,M33-LPC 17_0
LPC O-18_0,white,0.912827738563953,0.363265279634555,M34-LPC O-18_0
LPC 18_3 sn-1,blue,0.885937586290661,1.76027988336487,M2-LPC 18_3 sn-1
LPC 18_3 sn-2,blue,0.727189481348293,0.772288104480755,M2-LPC 18_3 sn-2
LPC 18_2 sn-1,magenta,0.777932262348661,0.812585099153472,M19-LPC 18_2 sn-1
LPC 18_2 sn-2,magenta,0.769114719958748,0.773605856527229,M19-LPC 18_2 sn-2
LPC 18_1 sn-2,tan,0.855088778469809,0.722566491764087,M32-LPC 18_1 sn-2
LPC 18_1 sn-1,tan,0.886928923301938,0.735228339802966,M32-LPC 18_1 sn-1
LPC 18_0 sn-2,greenyellow,0.724175783569269,0.65509279260427,M13-LPC 18_0 sn-2
LPC 18_0 sn-1,greenyellow,0.773227392501665,0.738867602946691,M13-LPC 18_0 sn-1
LPE 22_6 sn-1,darkmagenta,0.859615069345636,0.154820377311168,M7-LPE 22_6 sn-1
LPE 22_4 sn-1,saddlebrown,0.868548620681176,0.214898572941147,M27-LPE 22_4 sn-1
LPC 20_5,green,0.899915686221732,0.887289277327756,M12-LPC 20_5
LPC 20_4 sn-1,lightyellow,0.783776297051708,0.275796470721594,M18-LPC 20_4 sn-1
LPC 20_3 sn-1,paleturquoise,0.95305445513481,0.303238984443178,M22-LPC 20_3 sn-1
LPC 20_2 sn-1,tan,0.786303702971624,0.511839076842472,M32-LPC 20_2 sn-1
LPC 20_2 sn-2,tan,0.758759260362611,0.50908992540631,M32-LPC 20_2 sn-2
LPC 20_1 sn-2,tan,0.731528180236375,0.536808123308176,M32-LPC 20_1 sn-2
LPC 20_1 sn-1,tan,0.765071390639517,0.564399785531279,M32-LPC 20_1 sn-1
LPC 20_0 sn-1,royalblue,0.921171602978171,0.661950444666659,M26-LPC 20_0 sn-1
LPC 20_0 sn-2,royalblue,0.852439192389718,0.439219994462029,M26-LPC 20_0 sn-2
LPC 22_6 sn-1,green,0.738909740573805,0.291808747884697,M12-LPC 22_6 sn-1
LPC 22_5 sn-1,green,0.605812965385967,0.200239806234184,M12-LPC 22_5 sn-1
LPC 22_4,paleturquoise,0.797103531265747,0.124841013273412,M22-LPC 22_4
LPC 22_1,grey,-0.072262500162711,0.00373979574763417,M14-LPC 22_1
LPC 22_0,royalblue,0.916651981332993,0.647659202616885,M26-LPC 22_0
LPC 24_0,royalblue,0.861869103395955,0.490196286156984,M26-LPC 24_0
SM 32_2,brown,0.756360125371036,0.400089263174446,M3-SM 32_2
SM 32_1,brown,0.706245786542275,0.393662733226506,M3-SM 32_1
SM 33_2,brown,0.842315670411268,0.789819328059945,M3-SM 33_2
SM 33_1,brown,0.821265094963004,0.752028796520122,M3-SM 33_1
PE O-34_3,darkred,0.781957025870866,0.157694824431833,M10-PE O-34_3
SM 34_2,brown,0.81279913537106,0.420240640366522,M3-SM 34_2
SM 34_1,blue,0.840778606038096,1.17289916216694,M2-SM 34_1
PC 30_0,darkorange,0.891600565268918,0.352897711370659,M9-PC 30_0
SM 35_2,brown,0.879696794795913,0.709051470236477,M3-SM 35_2
PE 34_2,salmon,0.706122835978831,0.147159703135693,M28-PE 34_2
PE O-36_5,darkred,0.897319320852933,0.497709711986071,M10-PE O-36_5
SM 36_3,brown,0.689443595103016,0.238428372059161,M3-SM 36_3
SM 36_2,brown,0.741534552854332,0.463289981398058,M3-SM 36_2
PC 32_2,lightcyan,0.893340333566647,0.732060993100623,M16-PC 32_2
SM 36_1,brown,0.61507581628063,0.311575380618667,M3-SM 36_1
PC 32_1,darkorange,0.944470665448074,0.577970633697638,M9-PC 32_1
PC 34_0,blue,0.767412766089347,0.918720503501371,M2-PC 34_0
PC O-34_2,grey60,0.875313021318986,0.770205206470296,M15-PC O-34_2
PC 33_1,darkmagenta,0.833667271757609,0.109680658392232,M7-PC 33_1
PE O-38_7,darkred,0.843044556373935,0.360425362013197,M10-PE O-38_7
PE O-38_6,darkred,0.938724478181355,0.643348811685623,M10-PE O-38_6
PC 34_4,lightcyan,0.808975783953007,0.364759974859653,M16-PC 34_4
PC 34_3,lightcyan,0.78149735797833,0.348591436007612,M16-PC 34_3
PC 16_0_18_2,blue,0.927927579209401,2.04034490865089,M2-PC 16_0_18_2
PC 34_1,blue,0.830450939057456,1.35016531564396,M2-PC 34_1
PE 38_6,salmon,0.753745845463546,0.188805800614705,M28-PE 38_6
PC O-36_5,grey60,0.83994894042787,0.627134102960079,M15-PC O-36_5
PC O-36_4,grey60,0.862991648013232,0.677676412427556,M15-PC O-36_4
PC 35_3,blue,0.571547153135874,0.215578880417109,M2-PC 35_3
PC 35_2,blue,0.720438123864897,0.522261974020956,M2-PC 35_2
L-Thyroxine,grey,-0.284430056893503,0.00740644662447298,M14-L-Thyroxine
PC 36_6,green,0.70421517331373,0.183141826948831,M12-PC 36_6
PC 36_5,green,0.870537251369364,0.809457604250021,M12-PC 36_5
PC 36_4,lightyellow,0.964689036099144,1.0801090435882,M18-PC 36_4
PC 36_3,blue,0.840416724397608,1.22893468608751,M2-PC 36_3
PC 36_2,blue,0.940352854603613,2.184153871011,M2-PC 36_2
PC O-38_6,grey60,0.9355686175798,0.972396114648077,M15-PC O-38_6
PC O-38_5,grey60,0.891213164105583,0.840253405173752,M15-PC O-38_5
PC 38_7,blue,0.84344761380636,1.34670967655732,M2-PC 38_7
PC 38_6,darkmagenta,0.89302686863736,0.192529279841311,M7-PC 38_6
PC 38_5,lightyellow,0.847091303163496,0.492293583380452,M18-PC 38_5
PC 38_4,lightyellow,0.960759142955185,1.07381322439155,M18-PC 38_4
