	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00627	Mitsuokella multacida	99	Mitsuokella	99	Veillonellaceae	99	Selenomonadales	99	Firmicutes	99
T2DCAG00628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00629	Dialister succinatiphilus	91	Dialister	92	Veillonellaceae	93	Selenomonadales	94	Firmicutes	95
T2DCAG00630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00631	Eubacterium biforme	97	Eubacterium	98	Eubacteriaceae	98	Clostridiales	99	Firmicutes	100
T2DCAG00632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00633	Dorea longicatena	95	Dorea	96	Lachnospiraceae	97	Clostridiales	98	Firmicutes	99
T2DCAG00634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00638	Sutterella parvirubra	98	Sutterella	99	Sutterellaceae	99	Burkholderiales	99	Proteobacteria	99
T2DCAG00639	Bacteroides xylanisolvens	97	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00640	Akkermansia muciniphila	84	Akkermansia	84	Verrucomicrobiaceae	84	Verrucomicrobiales	84	Verrucomicrobia	84
T2DCAG00641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00648	Clostridium perfringens	100	Clostridium	100	Clostridiaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00649	NA	NA	NA	NA	Lachnospiraceae	76	Clostridiales	96	Firmicutes	96
T2DCAG00650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00651	Bacteroides intestinalis	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00652	Megasphaera elsdenii	100	Megasphaera	100	Veillonellaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00655	NA	NA	NA	NA	NA	NA	Clostridiales	81	Firmicutes	83
T2DCAG00656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00657	Collinsella intestinalis	96	Collinsella	98	Coriobacteriaceae	98	Coriobacteriales	98	Actinobacteria	99
T2DCAG00658	NA	NA	NA	NA	NA	NA	Burkholderiales	76	Proteobacteria	84
T2DCAG00659	Clostridium sp._L2-50	100	Clostridium	100	Clostridiaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00662	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00663	NA	NA	NA	NA	Ruminococcaceae	70	Clostridiales	82	Firmicutes	84
T2DCAG00664	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	72
T2DCAG00665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00666	NA	NA	NA	NA	Coriobacteriaceae	82	Coriobacteriales	82	Actinobacteria	84
T2DCAG00667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00668	NA	NA	NA	NA	NA	NA	Clostridiales	76	Firmicutes	77
T2DCAG00669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00671	Acidaminococcus fermentans	99	Acidaminococcus	99	Acidaminococcaceae	99	Selenomonadales	99	Firmicutes	99
T2DCAG00672	Bifidobacterium angulatum	99	Bifidobacterium	100	Bifidobacteriaceae	100	Bifidobacteriales	100	Actinobacteria	100
T2DCAG00673	Eubacterium ventriosum	71	Eubacterium	75	Eubacteriaceae	75	Clostridiales	88	Firmicutes	89
T2DCAG00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00676	NA	NA	Ruminococcus	78	Ruminococcaceae	78	Clostridiales	97	Firmicutes	97
T2DCAG00677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00682	Methanobrevibacter smithii	100	Methanobrevibacter	100	Methanobacteriaceae	100	Methanobacteriales	100	Euryarchaeota	100
T2DCAG00683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00686	NA	NA	NA	NA	NA	NA	Clostridiales	76	Firmicutes	77
T2DCAG00687	NA	NA	NA	NA	NA	NA	Clostridiales	81	Firmicutes	81
T2DCAG00688	NA	NA	NA	NA	Coriobacteriaceae	76	Coriobacteriales	76	Actinobacteria	78
T2DCAG00689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00692	Eggerthella sp._HGA1	99	Eggerthella	100	Coriobacteriaceae	100	Coriobacteriales	100	Actinobacteria	100
T2DCAG00693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00694	NA	NA	NA	NA	NA	NA	Bacteroidales	71	Bacteroidetes	72
T2DCAG00695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00696	Desulfovibrio sp._6_1_46AFAA	99	Desulfovibrio	99	Desulfovibrionaceae	99	Desulfovibrionales	99	Proteobacteria	100
T2DCAG00697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00698	NA	NA	Bacteroides	89	Bacteroidaceae	89	Bacteroidales	90	Bacteroidetes	90
T2DCAG00699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00701	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	71
T2DCAG00702	Coprococcus catus	97	Coprococcus	97	Lachnospiraceae	98	Clostridiales	98	Firmicutes	98
T2DCAG00703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00706	Bilophila sp._4_1_30	82	Bilophila	85	Desulfovibrionaceae	90	Desulfovibrionales	90	Proteobacteria	93
T2DCAG00707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00711	NA	NA	NA	NA	Coriobacteriaceae	75	Coriobacteriales	75	Actinobacteria	80
T2DCAG00712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00715	Prevotella copri	86	Prevotella	91	Prevotellaceae	91	Bacteroidales	92	Bacteroidetes	92
T2DCAG00716	Methanobrevibacter smithii	100	Methanobrevibacter	100	Methanobacteriaceae	100	Methanobacteriales	100	Euryarchaeota	100
T2DCAG00717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00723	Clostridium sp._L2-50	89	Clostridium	89	Clostridiaceae	89	Clostridiales	91	Firmicutes	91
T2DCAG00724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00730	Acidaminococcus fermentans	97	Acidaminococcus	97	Acidaminococcaceae	97	Selenomonadales	98	Firmicutes	99
T2DCAG00731	NA	NA	Bacteroides	96	Bacteroidaceae	96	Bacteroidales	96	Bacteroidetes	97
T2DCAG00732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00733	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	73
T2DCAG00734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00735	NA	NA	Clostridium	81	Clostridiaceae	81	Clostridiales	93	Firmicutes	94
T2DCAG00736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00739	Phascolarctobacterium succinatutens	100	Phascolarctobacterium	100	Acidaminococcaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00740	Bacteroides plebeius	93	Bacteroides	98	Bacteroidaceae	98	Bacteroidales	98	Bacteroidetes	98
T2DCAG00741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00746	butyrate-producing bacterium	99	butyrate-producing	99	NA	NA	Clostridiales	83	Firmicutes	83
T2DCAG00747	Veillonella sp._oral_taxon_158_str._F0412	97	Veillonella	99	Veillonellaceae	99	Selenomonadales	99	Firmicutes	99
T2DCAG00748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00751	NA	NA	NA	NA	NA	NA	Clostridiales	78	Firmicutes	80
T2DCAG00752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00753	Mitsuokella multacida	92	Mitsuokella	92	Veillonellaceae	96	Selenomonadales	96	Firmicutes	97
T2DCAG00754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00755	Akkermansia muciniphila	70	Akkermansia	70	Verrucomicrobiaceae	70	Verrucomicrobiales	70	Verrucomicrobia	70
T2DCAG00756	NA	NA	NA	NA	NA	NA	Clostridiales	72	Firmicutes	73
T2DCAG00757	Eubacterium siraeum	89	Eubacterium	91	Eubacteriaceae	91	Clostridiales	93	Firmicutes	93
T2DCAG00758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00759	Clostridium bolteae	95	Clostridium	99	Clostridiaceae	99	Clostridiales	99	Firmicutes	99
T2DCAG00760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00761	Desulfovibrio piger	99	Desulfovibrio	100	Desulfovibrionaceae	100	Desulfovibrionales	100	Proteobacteria	100
T2DCAG00762	Eubacterium sp._3_1_31	100	Eubacterium	100	Eubacteriaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00763	NA	NA	NA	NA	Coriobacteriaceae	74	Coriobacteriales	74	Actinobacteria	77
T2DCAG00764	NA	NA	Prevotella	86	Prevotellaceae	86	Bacteroidales	90	Bacteroidetes	91
T2DCAG00765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00767	Enterobacter cloacae	99	Enterobacter	100	Enterobacteriaceae	100	Enterobacteriales	100	Proteobacteria	100
T2DCAG00768	Lachnospiraceae bacterium	77	Lachnospiraceae	77	Lachnospiraceae	75	Clostridiales	81	Firmicutes	83
T2DCAG00769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00771	Streptococcus vestibularis	97	Streptococcus	100	Streptococcaceae	100	Lactobacillales	100	Firmicutes	100
T2DCAG00772	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00780	Eubacterium biforme	99	Eubacterium	99	Eubacteriaceae	99	Clostridiales	100	Firmicutes	100
T2DCAG00781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00782	NA	NA	Clostridium	71	Clostridiaceae	71	Clostridiales	83	Firmicutes	85
T2DCAG00783	Coprococcus catus	87	Coprococcus	87	Lachnospiraceae	89	Clostridiales	92	Firmicutes	92
T2DCAG00784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00787	NA	NA	Bacteroides	99	Bacteroidaceae	99	Bacteroidales	99	Bacteroidetes	100
T2DCAG00788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00791	Phascolarctobacterium succinatutens	100	Phascolarctobacterium	100	Acidaminococcaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00796	NA	NA	Alistipes	84	Rikenellaceae	84	Bacteroidales	94	Bacteroidetes	94
T2DCAG00797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00800	Faecalibacterium prausnitzii	100	Faecalibacterium	100	Ruminococcaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00808	Bifidobacterium dentium	100	Bifidobacterium	100	Bifidobacteriaceae	100	Bifidobacteriales	100	Actinobacteria	100
T2DCAG00809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00814	NA	NA	NA	NA	NA	NA	Bacteroidales	84	Bacteroidetes	84
T2DCAG00815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00819	NA	NA	NA	NA	NA	NA	Clostridiales	70	Firmicutes	72
T2DCAG00820	NA	NA	NA	NA	NA	NA	Clostridiales	80	Firmicutes	81
T2DCAG00821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00822	NA	NA	NA	NA	NA	NA	Clostridiales	73	Firmicutes	75
T2DCAG00823	Roseburia intestinalis	100	Roseburia	100	Lachnospiraceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00824	NA	NA	Prevotella	80	Prevotellaceae	81	Bacteroidales	87	Bacteroidetes	87
T2DCAG00825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00827	Ruminococcus obeum	99	Ruminococcus	100	Ruminococcaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00829	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	75
T2DCAG00830	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	74
T2DCAG00831	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	79
T2DCAG00832	NA	NA	NA	NA	NA	NA	Clostridiales	87	Firmicutes	88
T2DCAG00833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00834	Desulfovibrio piger	92	Desulfovibrio	93	Desulfovibrionaceae	94	Desulfovibrionales	95	Proteobacteria	96
T2DCAG00835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00838	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	74
T2DCAG00839	butyrate-producing bacterium	96	butyrate-producing	96	Clostridiaceae	70	Clostridiales	88	Firmicutes	89
T2DCAG00840	Bacteroides cellulosilyticus	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00844	NA	NA	Bacteroides	83	Bacteroidaceae	83	Bacteroidales	84	Bacteroidetes	85
T2DCAG00845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00846	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	73
T2DCAG00847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00854	Clostridium sp._L2-50	100	Clostridium	100	Clostridiaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00856	Faecalibacterium prausnitzii	97	Faecalibacterium	97	Ruminococcaceae	98	Clostridiales	98	Firmicutes	98
T2DCAG00857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00860	Bacteroides cellulosilyticus	70	Bacteroides	93	Bacteroidaceae	93	Bacteroidales	95	Bacteroidetes	95
T2DCAG00861	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	77
T2DCAG00862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00863	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	71
T2DCAG00864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00867	Succinatimonas hippei	96	Succinatimonas	96	Succinivibrionaceae	96	Aeromonadales	96	Proteobacteria	97
T2DCAG00868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00870	NA	NA	Alistipes	81	Rikenellaceae	81	Bacteroidales	87	Bacteroidetes	87
T2DCAG00871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00873	NA	NA	Clostridium	82	Clostridiaceae	83	Clostridiales	94	Firmicutes	95
T2DCAG00874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00876	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	72
T2DCAG00877	Ruminococcus obeum	98	Ruminococcus	99	Ruminococcaceae	99	Clostridiales	100	Firmicutes	100
T2DCAG00878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00880	NA	NA	Eubacterium	72	Eubacteriaceae	72	Clostridiales	81	Firmicutes	85
T2DCAG00881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00885	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	70
T2DCAG00886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00887	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	85
T2DCAG00888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00890	NA	NA	Clostridium	73	Clostridiaceae	73	Clostridiales	89	Firmicutes	91
T2DCAG00891	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	75
T2DCAG00892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00894	Ruminococcaceae bacterium	79	Ruminococcaceae	79	NA	NA	Clostridiales	75	Firmicutes	77
T2DCAG00895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00896	NA	NA	NA	NA	NA	NA	Clostridiales	70	Firmicutes	71
T2DCAG00897	Bifidobacterium catenulatum	97	Bifidobacterium	100	Bifidobacteriaceae	100	Bifidobacteriales	100	Actinobacteria	100
T2DCAG00898	Escherichia coli	92	Escherichia	93	Enterobacteriaceae	98	Enterobacteriales	98	Proteobacteria	98
T2DCAG00899	Eubacterium ventriosum	78	Eubacterium	79	Eubacteriaceae	79	Clostridiales	89	Firmicutes	90
T2DCAG00900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00904	Veillonella dispar	99	Veillonella	100	Veillonellaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00906	Bacteroides plebeius	99	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00910	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	75
T2DCAG00911	Lachnospiraceae bacterium	88	Lachnospiraceae	88	Ruminococcaceae	81	Clostridiales	87	Firmicutes	88
T2DCAG00912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00914	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	76
T2DCAG00915	Lachnospiraceae bacterium	70	Clostridium	79	Clostridiaceae	79	Clostridiales	93	Firmicutes	93
T2DCAG00917	NA	NA	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00918	NA	NA	Bacteroides	74	Bacteroidaceae	74	Bacteroidales	93	Bacteroidetes	94
T2DCAG00919	NA	NA	NA	NA	NA	NA	Clostridiales	75	Firmicutes	76
T2DCAG00920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00922	NA	NA	Eggerthella	74	Coriobacteriaceae	84	Coriobacteriales	84	Actinobacteria	88
T2DCAG00923	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	72
T2DCAG00924	Ruminococcus sp._SR1/5	75	Ruminococcus	84	Ruminococcaceae	84	Clostridiales	91	Firmicutes	91
T2DCAG00925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00927	NA	NA	Olsenella	72	Coriobacteriaceae	84	Coriobacteriales	84	Actinobacteria	87
T2DCAG00928	Eubacterium biforme	98	Eubacterium	98	Eubacteriaceae	98	Clostridiales	99	Firmicutes	99
T2DCAG00930	NA	NA	NA	NA	Coriobacteriaceae	70	Coriobacteriales	70	Actinobacteria	75
T2DCAG00931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00933	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	71
T2DCAG00934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
