	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00404	NA	NA	Alistipes	76	Rikenellaceae	76	Bacteroidales	82	Bacteroidetes	83
T2DCAG00405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00408	NA	NA	NA	NA	NA	NA	Clostridiales	76	Firmicutes	78
T2DCAG00409	Blautia hansenii	99	Blautia	99	Lachnospiraceae	99	Clostridiales	100	Firmicutes	100
T2DCAG00410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00411	Alistipes putredinis	100	Alistipes	100	Rikenellaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00412	Eubacterium ventriosum	75	Eubacterium	77	Eubacteriaceae	77	Clostridiales	85	Firmicutes	87
T2DCAG00413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00414	Eubacterium ventriosum	99	Eubacterium	99	Eubacteriaceae	99	Clostridiales	100	Firmicutes	100
T2DCAG00415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00416	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	72
T2DCAG00417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00419	NA	NA	NA	NA	NA	NA	Bacteroidales	71	Bacteroidetes	72
T2DCAG00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00422	NA	NA	Clostridium	82	Clostridiaceae	82	Clostridiales	83	Firmicutes	86
T2DCAG00423	Parabacteroides johnsonii	77	Parabacteroides	84	Porphyromonadaceae	84	Bacteroidales	90	Bacteroidetes	90
T2DCAG00424	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	72
