,module,kME,kIN,rename,HOMAIR_estimate,HOMAIR_p.value,HOMAIR_p.adjust,HOMAIR.adj.partial_estimate,HOMAIR.adj.partial_p.value,HOMAIR.adj.partial_p.adjust
FFA 18_1,red,0.898692894429022,4.22625707812326,M25-FFA 18_1,-0.00691594435108941,0.891847839098776,0.951646206828529,-0.0343342529389967,0.501219847134067,0.736159404211964
FFA 18_2,red,0.881894662796729,4.126963962462,M25-FFA 18_2,0.00663644842026232,0.896193452962386,0.951646206828529,-0.0275848645665141,0.588988942226994,0.796661049643001
FFA 18_3,red,0.811681917418305,2.43373116047521,M25-FFA 18_3,0.0499008283822735,0.326275967591533,0.656592114875077,0.0273785917598568,0.591778871789609,0.796661049643001
FFA 19_0,red,0.676189237294869,0.971946537725817,M25-FFA 19_0,0.034896218788714,0.492552229722157,0.834030007904679,0.0508555335554385,0.318979468222735,0.581317722461994
FFA 19_1,red,0.903280719548669,4.0214232395287,M25-FFA 19_1,0.00209234608755932,0.967188466612013,0.976895822421711,-0.0058558258645105,0.908701475027332,0.967538413362924
FFA 20_0,red,0.317927281650333,0.133497446405421,M25-FFA 20_0,0.0116850093093706,0.818301125543411,0.951646206828529,0.0613671249310704,0.229016378739762,0.465189519315142
FFA 20_1,red,0.853188200937783,2.88206821028153,M25-FFA 20_1,-0.0271913253112199,0.592878233496813,0.903212933842802,-0.0391098861994005,0.443564143540495,0.681063055042492
FFA 20_2,red,0.903274859096902,4.2598091232391,M25-FFA 20_2,-0.00775473793780572,0.878826165760256,0.951646206828529,-0.0358486562769243,0.482519600652856,0.718254367384022
FFA 20_3,red,0.857879862060688,3.12455438164787,M25-FFA 20_3,0.035940709964201,0.479685316512621,0.834030007904679,0.0219526188612371,0.667229421692051,0.855985113354933
FFA 20_4,red,0.672288266717841,1.0967060935035,M25-FFA 20_4,-0.0101858021063783,0.841281852500219,0.951646206828529,0.0163586627825657,0.748683451857267,0.884807715831316
FFA 20_5,orange,0.853499566237638,0.272840231434383,M21-FFA 20_5,0.00708800457400558,0.889174239442668,0.951646206828529,0.055262343486843,0.278790955980152,0.540916824764459
FFA 22_0,red,0.887354792371307,3.88820397507924,M25-FFA 22_0,0.0240689623086323,0.636031252107051,0.935870614238726,-0.00577696279037149,0.909925781932318,0.967538413362924
FFA 22_1,red,0.442886889063071,0.202748547181538,M25-FFA 22_1,0.0285260152157604,0.574848981016181,0.882642136205947,0.0165858765154524,0.745312544846244,0.884807715831316
FFA 22_2,red,0.871364255076544,3.47329270704498,M25-FFA 22_2,-0.00147311276160215,0.976895822421711,0.976895822421711,-0.0114099958966201,0.823184437950214,0.917262659430238
FFA 22_5,orange,0.897658197968837,0.39209500230041,M21-FFA 22_5,-0.0227194923493982,0.655081529319257,0.939271310420993,-0.00517755687900974,0.919237995351437,0.967538413362924
FFA 22_6,orange,0.961647492292369,0.520454234593023,M21-FFA 22_6,0.0128085992603214,0.801178329897321,0.951646206828529,0.0273957897843324,0.591546030158694,0.796661049643001
FFA 24_0,red,0.413888736604955,0.178971827539261,M25-FFA 24_0,0.0993030082986075,0.0503359082178166,0.166364442414818,0.133793249696322,0.00848993043347808,0.0636744782510856
FFA 24_1,red,0.696299348622715,1.15978418993999,M25-FFA 24_1,0.00813555369184292,0.87292481591796,0.951646206828529,0.0242087463982244,0.635390551590796,0.8371699835149
Pyrrolidine,purple,0.753886334254674,0.281762468721948,M24-Pyrrolidine,0.2293933801811,4.85682355379841e-06,8.60982357264263e-05,0.196571498302128,0.000101287879137413,0.00197511364317955
Valerolactam,grey,-0.0242007421176716,0.00358851422698758,M14-Valerolactam,-0.018869339067414,0.710639833965618,0.951646206828529,0.00446639997489883,0.930300568556814,0.967538413362924
Choline,purple,0.574596294882044,0.0245706126036911,M24-Choline,-0.140536812608538,0.00549151456759055,0.0281801405442147,-0.167997297623154,0.000921365958758195,0.0118626637040052
proline,purple,0.566192679660039,0.0202957264632384,M24-proline,0.0995416297333508,0.0497829040859233,0.166364442414818,0.0824827901791746,0.105655669160601,0.312164477065413
leucine,purple,0.849379692597369,0.303054106921099,M24-leucine,0.160782021870811,0.00146445865266674,0.00815912677914329,0.120081055034988,0.0182693770180696,0.114920274791083
Indoline,purple,0.601986059707346,0.0359828638620052,M24-Indoline,0.119682767024299,0.0182055745530758,0.0739601466218705,0.0840350530448916,0.0992317724535635,0.302346806694451
Lysine,grey,-0.226785699378418,0.0086819954793107,M14-Lysine,0.0137156868928634,0.787423558978449,0.951646206828529,0.0609329463659056,0.232333278946436,0.46706174633562
L-Carnitine,sienna3,0.855172896621369,0.0724857322972496,M29-L-Carnitine,-0.090077909747315,0.0759795500323718,0.227938650097115,-0.0884897554117862,0.0825078008414646,0.272695273967553
5-Formylsalicylic acid,grey,0.136494742538434,0.0261780216863448,M14-5-Formylsalicylic acid,0.135886497744864,0.00727611112527563,0.0346058943763109,0.0901233262820628,0.0769773069489934,0.258803014742305
5-Methoxysalicylic acid,grey,0.0869060499418777,0.0264888333227777,M14-5-Methoxysalicylic acid,0.137126493367953,0.00675555139854311,0.0329333130678976,0.103090911830905,0.0429452080147751,0.187119345606212
1-7-Dimethylxanthine,grey,0.157115400825449,0.282919108828114,M14-1-7-Dimethylxanthine,0.127528733575558,0.0118206992221451,0.0512230299626288,0.113387040904314,0.0259028147746263,0.148469000198355
Propylparaben,green,0.597935096505413,0.0944412133938592,M12-Propylparaben,0.0127081968198164,0.802704664252762,0.951646206828529,0.0535539264002125,0.293944080770958,0.559559330693024
L-Tyrosine,purple,0.661423346752936,0.0384726128335617,M24-L-Tyrosine,0.212089401802859,2.46836371062195e-05,0.000256055508514972,0.147917527229208,0.0035828199471434,0.0388138827607201
Caffeine,grey,0.181520980992237,0.282363165099749,M14-Caffeine,0.151895233674885,0.00266763545056375,0.014449692023887,0.114816187217988,0.0240750455454234,0.142261632768411
L-Acetylcarnitine(C2),sienna3,0.822628094573591,0.0618372632833986,M29-L-Acetylcarnitine(C2),-0.0296044495513368,0.560472662488153,0.875284887033482,-0.0703109482204754,0.168012708112693,0.399542415633842
Propionyl-L-carnitine(C3),sienna3,0.720569123036606,0.0253526649668852,M29-Propionyl-L-carnitine(C3),-0.0857035232150595,0.09141027998556,0.254642922816917,-0.0907196175646513,0.0750351057850782,0.256699046106847
Butyrylcarnitine(C4),midnightblue,0.438003077251667,0.0480035447349194,M20-Butyrylcarnitine(C4),0.0034963493520423,0.945198902448614,0.96499364386115,0.0731227088134994,0.151602465156842,0.374208616526381
Valerylcarnitine(C5),midnightblue,0.470322685526915,0.0455094974911652,M20-Valerylcarnitine(C5),-0.00152897117520289,0.976020001727623,0.976895822421711,-0.00849321705160878,0.8678995674434,0.950788851974512
