	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-4	M-5	M-6	M-7	M-8	M-9
R0235V5	-0.1068069492355	0.03852245023789	0.117735784019364	-0.111621782917528	-0.0297139383851754	0.0163401560646712	0.0153379705909362	-0.0400614158754091	-0.0226070048457222	0.122065059459827	0.0281243994578421	0.0503927548731732	-0.0718327363694048	-0.0562805773844474	0.122192048846756	0.0810323574835063	-0.0341023170441921	-0.0321228263524162	-0.0374798604529979	-0.0377057223017925	-0.042973608685516	-0.000348109901620672	-0.0138205783008691	0.0729201451778144	-0.067178546498147	-0.000252832091274884	-0.00435350025203419	-0.0642960043855799	-0.0195655409672263	-0.0741773762205803	0.0449506043308949	0.0669101429604362	0.184443628891798	-0.09329932589582	-0.0606187906437829	-0.0476823621644568	0.0273924507345575
R0205V5	-0.0194388448412013	0.153351716458986	-0.0989818043701683	0.104617902440285	0.150541237547633	0.144830598156539	-0.0893738247818336	-0.057766803657936	-0.0257787419990137	0.100507895969104	-0.0623011633373204	0.0497447236352701	0.262050924425795	0.316345613414687	0.18625697666272	-0.0722606147645989	-0.0667328022961578	-0.0301118500354576	-0.0411881461326564	0.250923631718577	0.233186372946438	0.124652951697997	0.269444391267636	-0.0284765921021942	0.0284182280717874	0.164476468903264	-0.0151740730412274	-0.0736660936020448	0.187486676177615	0.0374305256320181	-0.0277781757253583	0.132993698406346	0.0167881932022443	-0.100528455147098	0.280120684439129	-0.00384658488763645	-0.0570754101372806
R0248V5	-0.115928187136416	0.192796948102685	0.11191746934466	0.0344856702841295	0.0586490396260712	0.0379500725431891	-0.00101574839813237	0.00799295673299456	0.0587925318216255	-0.0542319428345128	0.260123563185956	0.0116425565221515	0.06897331260165	0.053505891051405	-0.0125051392672305	0.785869583031836	0.104812688632869	-0.0575220637547977	0.0127632884495196	-0.0331724219157557	-0.0507209316235315	0.0721118665708104	0.0971096846583384	0.00233834709719071	0.00475353101249699	0.0498242081561155	0.033242166466685	-0.0292287709884802	-0.0736518271100129	0.0817549344233298	0.111243597837644	-0.121283567562043	0.0795988475264586	-0.0311342421333145	-0.0177871558745285	-0.0691567650984146	0.0676304589488828
R0210V5	-0.114892304110334	0.173946711482364	0.0501337550346501	-0.0833207827046269	0.0296493686056767	0.0923067457302175	-0.0123718764072644	-0.00513604085308548	0.0674284206459565	0.0721443111400984	-0.0132222207642761	0.107189954558822	0.0350077953593346	0.130558880098648	0.198095743524457	0.0572485701814657	0.00630322601868253	-0.0847721373617141	-0.0216561469511656	0.131405356094937	-0.00110463143865522	0.177982283693916	0.0462363321039562	0.0124556528395362	-0.0439307513249527	0.126411845831606	-0.0306022325624628	-0.0462734624375368	0.0113858105173246	0.107181553608996	0.00907223726070302	-0.0171495882322443	0.117664523868726	-0.0570838075820198	-0.0577766329869089	-0.0702802708985272	-0.05936395391027
R0327V5	-0.111013762029164	0.210028277394743	-0.00747600616946849	-0.0145254599041568	-0.0320860559540714	0.0083016367285238	-0.00633988810719954	-0.0452649075181962	0.0166016746503555	0.133774361881048	-0.0445357694809729	0.116357774696297	-0.00250998182827554	0.0244926278444463	-0.00112395271884042	-0.0304523819672933	-0.0638961702760408	0.0667718751930085	-0.0329877593750232	0.00768450966604196	-0.0399541845991467	-0.00535761937006232	0.0115688166600889	0.0414506773076667	0.0790682786360181	-0.0540423233048936	-0.075278120377916	-0.000895021904323992	-0.0734016247618868	0.0412680849161775	-0.0748923429334766	-0.0569889190607712	-0.0413614911217442	-0.0368806962828824	0.0427484218978007	0.0678337388249548	-0.147950734859454
R0310V5	-0.16008733595448	0.107890664865616	0.101530880341773	-0.12934951303654	-0.115236914053739	-0.0682861073739922	-0.14803494165338	-0.0760009803528178	0.004740279908665	0.0578852339290784	-0.112987969198946	-0.0611906414605765	-0.186155709476208	-0.0466897694943842	-0.0985220357761908	-0.0453434521150009	-0.0949798813043245	-0.0722871735564345	-0.0281855193654357	-0.118092316391655	0.0155762485334711	-0.0556722340519138	-0.166690714321006	-0.0649597102472211	-0.00400924378032745	-0.186000583866059	-0.0747804480494815	-0.0132354329787485	-0.103802441680702	0.00305804385318044	-0.0179697448925476	-0.142043435576095	-0.107895064330354	-0.0449210900604537	-0.147874671093108	-0.0239670967048085	-0.0135450721224659
R0316V5	-0.0432558966025448	0.0298448865237357	0.0546019136764506	0.000170265385486311	0.0342070882430082	0.0438308784951122	0.0695597497907107	-0.03446743228306	0.0993968401365824	0.0803065705672377	-0.0219861681494702	-0.096557685962073	0.0463282238145163	-0.01351829286827	0.0425760434468692	0.10841957294963	-0.0463459957225691	0.125509920174904	-0.0236855830632519	0.0414002082148627	0.00143948207349914	0.0834746717667556	0.0657083847417665	-0.056300143107611	-0.0556853915968074	0.0862425025702895	-0.0736696043047183	0.00321325512268955	-0.0130875320118147	0.0936863171656638	0.134108121124519	-0.0708952941707139	-0.0667439481591319	0.00613065370265406	-0.00111666006730502	0.00612051766313254	-0.108064553198862
R0321V5	0.0224793247462452	-0.104831668013195	0.139469760680833	-0.138903534129707	0.233210029110221	0.0877041614419363	-0.0186273496215111	0.0112666225441238	-0.0275431235561053	0.220924174287652	-0.060082972411251	0.257168040557676	-0.0622954125865103	0.175149868163637	-0.0606666790438735	0.116951469724564	-0.0114709730302467	0.613712443665396	0.0402275298842246	0.30767011454574	0.290002145164898	-0.0501284555146177	-0.0542817735967985	0.0658334184082222	0.00532133259157025	0.117139341240163	-0.0309373973577622	0.0410215647914487	0.150963403660893	0.248698558152576	-0.0289370573027925	0.0623511666129034	0.136478160319762	-0.131228679501405	-0.0727374911278133	-0.0462612803904629	-0.086397060470062
R0306V5	0.0494002083199241	-0.0283693080443505	0.00968482071184264	-0.144746849078388	-0.0626427306143694	-0.0832958867273257	-0.10537212444129	0.067743528285021	0.168201178586257	0.0479177474901428	-0.0117014037167582	-0.0905539687800806	-0.141404766992542	-0.107361947326908	0.163939932102764	-0.0649704784314437	0.0622813872356923	-0.0334298091721133	0.011610359784904	-0.0858881806708894	-0.0217935089030864	0.163897655595986	-0.110961551173019	0.06881765465207	-0.116783126511689	-0.0902497547521748	0.0451614416610136	-0.0476446388098872	-0.108933162518942	-0.0747356465749935	0.0644570624586684	-0.120089525558522	-0.0395139740311183	0.0483664708743019	-0.163390006434546	-0.116547106850788	0.0850073921255009
R0302V5	-0.0629825900594887	0.0973149916842726	0.00085577571110174	-0.0481144231236768	-0.112205363132217	0.131752061629473	-0.00671763208266385	-0.0527126014489585	0.0527807852557009	-0.0164344621615637	-0.0274280662958358	-0.0583510954345121	0.0057479028626723	-0.0264075502437765	0.119749114964204	-0.0300216440625488	-0.0312172121700698	0.0149452273938129	-0.0311608990219507	0.0709953774131667	0.0202216294610261	0.00376830905427345	-0.113862747957247	-0.047896765916167	-0.0720683586419132	0.00693895919958525	-0.0569295031204588	-0.0736532361055919	-0.0840445882998196	0.0533679820300628	-0.13032732598711	-0.0386746831945162	-0.0499444701150476	-0.0429862209159626	-0.159551366441088	-0.112773352675604	-0.0331581076018342
R0416V5	0.0399603767520787	-0.178576099528757	-0.0786395891846773	-0.0147015199303659	-0.0189995423371627	-0.110887515140836	-0.0766952767455949	-0.0682403972879261	-0.162009211291601	0.00210803599222829	-0.070974018992315	-0.0080028368303818	-0.0816874903802484	-0.0422205325959109	-0.0403248332785757	0.0105547161303504	-0.0821424843967955	-0.0421578590042293	-0.0250228409012274	-0.0698438941055377	0.024758095245831	-0.0948506129238144	-0.112710856587683	-0.0540344959145513	0.0744319075868767	-0.0991017130641543	-0.0732988313044582	-0.00746644985800508	-0.105741429935203	0.175051010995639	-0.0644092851586431	-0.0822259614556649	-0.0714896640490751	-0.0225342538518537	-0.109266577115824	-0.0404426117432808	-0.177018083752908
R0410V5	-0.0976867721607147	0.0463686426172375	-0.011204050892559	-0.145879975884097	-0.0442597929073037	-0.0368137546748652	-0.111558284079805	-0.0491777506392564	-0.0140139412666445	-0.140099247093012	-0.00618987892844657	0.055241443758747	-0.141058578664371	-0.109054855742986	-0.118874285276357	0.123881713708954	-0.0439459083373233	0.0022064453752275	-0.0522268335280529	-0.110415272874357	0.0521043785594586	-0.118467731207766	-0.092098449696455	0.115564346530029	-0.0964581935296812	-0.128678550739379	-0.0576920448460478	-0.0203139284822302	-0.0612512557759715	-0.0538052462684652	-0.11501686106387	-0.0500824451366814	0.116651041050688	-0.0653848949390951	-0.0558266102867151	-0.0933861044205438	0.016003149988484
R0413V5	-0.0283933078538398	0.094241999344726	-0.0853740351827321	0.0393848238876022	-0.0688638944296482	-0.102094236223984	-0.00955102916126852	-0.0284987131021896	-0.0155847189488832	-0.029106185787449	-0.106640033688182	-0.0962456482473471	-0.0542142484983199	-0.117560565944182	-0.0321600963724487	-0.0728832761980916	-0.0659584544936569	0.0651085143035225	-0.0166225950311988	-0.0652624477603555	-0.0239813551774081	0.0309592711810013	-0.106276068958566	-0.0629718204208292	-0.0325228536357673	-0.0831802064813447	-0.0264790786329271	0.00283019064201013	-0.0845557275035058	0.103787212997978	0.0331321453124209	-0.0771149009927487	-0.144005916798641	-0.0146234982853683	-0.0770251998490979	0.00463941957627045	-0.120485338283712
R0405V5	0.0216120363374014	-0.0891472389258178	-0.0781143904752291	0.0544343473786182	-0.0491363388142293	-0.115768024184242	0.135493511377722	-0.0130547453927886	-0.12151489599811	-0.134526355574886	0.0125670747794561	0.0160900582005759	-0.0311649354930755	-0.0908576639843915	-0.147071464609625	-0.0751479754843608	0.0233890454972945	0.0812075449504084	-0.0106374266985184	-0.101129777820462	0.011255282159438	-0.0993686514283029	0.0262591730561324	-0.133115067032511	0.149851802211001	-0.0375202030872523	0.0280678636466804	0.017574666559977	0.0303261380072908	0.100591830204233	-0.0288516364124769	0.0243456025449238	0.0810095150765262	0.0552513508951653	0.107312344751994	0.123559706747301	-0.101881449784027
R0519V5	-0.0258666539626824	0.0272234300253086	-0.117836060609919	0.0329095744745317	0.0135971871322271	-0.038236615286371	0.0778133103481658	-0.0392342533554362	-0.101736782403001	-0.13265587155461	-0.0446543534806244	0.276087311499969	-0.070644663889356	0.0194175013182958	-0.0835132295762763	0.0619944352740726	-0.0627699481681385	-0.00054112204020231	-0.0353957137048048	0.018927978062514	-0.00550809718045938	-0.0599074328597551	-0.0389428066669729	-0.110333330983246	0.148902297919935	0.00581925242832669	-0.0569160640238095	-0.00167000399392538	-0.0435786836012805	-0.0142879670133223	-0.0152176538658743	-0.0745431951538228	0.103410651476254	-0.0191800978930359	-0.043234178518965	0.0580000600133309	-0.0957243554897121
R0515V5	-0.185169371158801	0.0608760176203911	0.179336678047442	0.198067771137083	-0.0800513035700405	-0.117057756909885	0.0833674580063784	0.238549513105264	-0.0795839245781221	-0.0715301111684871	-0.0821826032736644	-0.0237640648228906	-0.0635082644569293	-0.138673811396514	0.0120978793815948	0.169907794987358	0.0532911521206833	-0.00375608520418445	0.239105641953756	-0.124593955195703	-0.048932882708619	0.203011625179402	-0.0951311043190384	-0.0834146454996888	0.125153070197783	-0.133573596976026	0.315387651051679	0.14921794855324	-0.0199408698253204	-0.0520412005873712	0.325822183649856	-0.0751829577517464	0.066021823668202	0.00907561392183218	-0.000280345739501267	0.306248910591877	-0.121342052306856
R0524V5	-0.113995621952172	0.0713062981387331	0.0697330793577093	-0.104661799533139	-0.112553649721004	-0.147916323895002	-0.105048223269417	-0.0366895292476711	-0.0262819625836317	0.149416900667264	-0.0404724479766719	-0.0455552726470707	-0.102805679210424	-0.150323024757145	-0.0606150910042621	0.0241100056453964	-0.0449133938163729	-0.0410368637224265	-0.0296391865978145	-0.128340828678284	-0.0356809735585963	0.00853333548369141	-0.0970385352894256	-0.0721750161604476	-0.0729759923352644	-0.108335435217335	0.0127897665092105	-0.00373365659799745	0.0434835468831244	-0.137185723606204	0.00762817682896242	-0.0154484847172108	-0.0598653834050448	-0.0373269623424426	0.00882238462187698	-0.0809182291145407	0.0547072947006392
R0508V5	-0.0380792649980654	0.0417628261439841	0.000789354162416845	0.0715287976276097	0.0110588886700733	0.0129548748211318	0.061195988705913	-0.0505393304314667	0.00384349598865649	-0.043783796782995	0.0150207076522278	0.0598004887403502	-0.0701576098868045	0.0416374586176445	-0.113372377119708	-0.0784822865014439	-0.0487166230053885	-0.0405522923668215	-0.0614614695009099	-0.0527837636988267	0.0776077936355799	-0.0696335567603128	0.0198989287569966	0.000899489669958217	0.253127717310743	-0.0554983491109033	-0.0561616714841716	-0.0211935875003803	-0.0641570894927685	0.107147508807315	0.000218077780193008	-0.077951364035802	0.0101277951270111	-0.0551984809964021	0.0274057911775892	0.156302365748325	-0.0793901845975065
