,module,kME,kIN,rename
Decadienoylcarnitine C10:3,skyblue,0.946232304619514,0.620456772847594,M28-Decadienoylcarnitine C10:3
fatty amide C20_1,white,0.813895219679822,0.157524364132634,M33-fatty amide C20_1
DecenoylcarnitineC10:2,skyblue,0.827275339716437,0.193992877509155,M28-DecenoylcarnitineC10:2
Carnitine C10:1,blue,0.874960303018936,1.25794993137751,M2-Carnitine C10:1
Decanoylcarnitine(C10),saddlebrown,0.860894860296693,1.86530393033343,M26-Decanoylcarnitine(C10)
17-Hydroxyprogesterone,blue,0.454617907494723,0.057374620920611,M2-17-Hydroxyprogesterone
FFA C22_1,white,0.954079049804397,0.653109670240638,M33-FFA C22_1
carnitine C12:2,blue,0.900264585330051,1.47987609697554,M2-carnitine C12:2
fatty amide C22_0,white,0.932677052878934,0.609558555594924,M33-fatty amide C22_0
Carnitine C12:1,saddlebrown,0.921205990976044,1.88584880446917,M26-Carnitine C12:1
Carnitine C12:0,saddlebrown,0.968127409709163,2.50280391724091,M26-Carnitine C12:0
Cortisone,saddlebrown,0.442758792560672,0.19770014848248,M26-Cortisone
Hydrocortisone,saddlebrown,0.292235639955178,0.168993579885822,M26-Hydrocortisone
carnitine C14:3,blue,0.867861122326125,1.07027709205619,M2-carnitine C14:3
Tetradecadiencarnitine C14:2,blue,0.913892721516294,1.46237343135077,M2-Tetradecadiencarnitine C14:2
Tetradecenoylcarnitine C14:1,saddlebrown,0.941289783722912,2.28556726538288,M26-Tetradecenoylcarnitine C14:1
Tetradecanoylcarnitine C14,saddlebrown,0.853787469882906,1.32992103769579,M26-Tetradecanoylcarnitine C14
Sphingosine-1-phosphate,pink,0.530164355242738,0.0307919796066169,M22-Sphingosine-1-phosphate
Hexadecadienoylcarnitine C16:2,blue,0.900004855079304,1.11855704372968,M2-Hexadecadienoylcarnitine C16:2
Hexadecenoylcarnitine C16:1,saddlebrown,0.775516424958156,0.80730571524006,M26-Hexadecenoylcarnitine C16:1
Palmitoylcarnitine C16,yellowgreen,0.879581139887055,0.175125390326947,M34-Palmitoylcarnitine C16
linolenyl carnitine C18:3,blue,0.719985481507126,0.428174396469045,M2-linolenyl carnitine C18:3
Linoleyl carnitine C18:2,blue,0.778903990302919,0.520778425652457,M2-Linoleyl carnitine C18:2
Oleoylcarnitine C18:1,yellowgreen,0.854355717760606,0.172503318359149,M34-Oleoylcarnitine C18:1
Stearoylcarnitine C18,yellowgreen,0.876950456880983,0.196641817998984,M34-Stearoylcarnitine C18
LPE 16_1,violet,0.875990667304356,0.423980540203175,M32-LPE 16_1
LPE 16_0,green,0.816894043069544,0.756527295944003,M12-LPE 16_0
LPC 14_0 sn-2,cyan,0.908224293053035,1.02502472648583,M4-LPC 14_0 sn-2
LPC 14_0 sn-1,cyan,0.940982801108293,1.18911180357408,M4-LPC 14_0 sn-1
LPE 18_3sn-1,brown,0.860652372249425,1.75388474506253,M3-LPE 18_3sn-1
LPE 18_2 sn-2,magenta,0.931869567540229,1.37396036366586,M18-LPE 18_2 sn-2
LPE 18_2 sn-1,magenta,0.914810471378898,1.30135463769086,M18-LPE 18_2 sn-1
LPE 18_1 sn-2,magenta,0.859781103245955,0.968360084072523,M18-LPE 18_1 sn-2
LPE 18_1 sn-1,magenta,0.806412347509468,0.801837129209824,M18-LPE 18_1 sn-1
LPC O-16_1,steelblue,0.943426463567481,0.729205901596089,M29-LPC O-16_1
LPC 15_0 sn-2,brown,0.792458933327069,1.26884908908263,M3-LPC 15_0 sn-2
LPE 18_0 sn-2,green,0.866733117716567,1.25835765389164,M12-LPE 18_0 sn-2
LPC 15_0 sn-1,green,0.742846838190914,0.4305287862953,M12-LPC 15_0 sn-1
LPE 18_0 sn-1,green,0.857910979414043,1.25882177433915,M12-LPE 18_0 sn-1
LPC O-16_0,darkolivegreen,0.924056566109368,0.463310364929267,M8-LPC O-16_0
LPC 16_1 sn-2,brown,0.829238160113264,2.01999513492634,M3-LPC 16_1 sn-2
LPC 16_1 sn-1,brown,0.808543345001695,1.78412340394995,M3-LPC 16_1 sn-1
LPC 16_0 sn-1,brown,0.908234382972716,2.55265036337891,M3-LPC 16_0 sn-1
LPC 16_0 sn-2,brown,0.816802423064946,1.8624899271945,M3-LPC 16_0 sn-2
LPE 20_5 sn-1,lightgreen,0.856986707200153,0.565303186176041,M16-LPE 20_5 sn-1
LPE 20_4 sn-2,salmon,0.921297163745825,1.12208424430856,M27-LPE 20_4 sn-2
LPE 20_4 sn-1,salmon,0.94828492316155,1.30411060939639,M27-LPE 20_4 sn-1
LPE 20_3,darkmagenta,0.844347405913249,0.290250402528465,M7-LPE 20_3
LPC P-18_1,steelblue,0.942591640173906,0.727384085934659,M29-LPC P-18_1
LPC O-18_1,darkolivegreen,0.903944771170082,0.315667584427683,M8-LPC O-18_1
LPC P-18_0,steelblue,0.952977210426725,0.795978971792023,M29-LPC P-18_0
LPC 17_0,green,0.772157756057063,0.496364769611684,M12-LPC 17_0
LPC O-18_0,darkolivegreen,0.904601011798864,0.422268532470249,M8-LPC O-18_0
LPC 18_3 sn-1,brown,0.885124394637967,2.18753861953242,M3-LPC 18_3 sn-1
LPC 18_3 sn-2,brown,0.79086275029571,1.5033049565366,M3-LPC 18_3 sn-2
LPC 18_2 sn-1,magenta,0.851262961007668,1.15136833228167,M18-LPC 18_2 sn-1
LPC 18_2 sn-2,magenta,0.836526375307805,1.10895913024156,M18-LPC 18_2 sn-2
LPC 18_1 sn-2,black,0.866028625458265,1.05936363275774,M1-LPC 18_1 sn-2
LPC 18_1 sn-1,black,0.91496548215414,1.29624087109784,M1-LPC 18_1 sn-1
LPC 18_0 sn-2,green,0.850267635247579,0.975363500559953,M12-LPC 18_0 sn-2
LPC 18_0 sn-1,green,0.878802314365869,1.06356294656312,M12-LPC 18_0 sn-1
LPE 22_6 sn-1,brown,0.846016442492059,1.68720349598178,M3-LPE 22_6 sn-1
LPE 22_4 sn-1,salmon,0.865918063714771,0.732763738833617,M27-LPE 22_4 sn-1
LPC 20_5,lightgreen,0.845433317489627,0.59377354913725,M16-LPC 20_5
LPC 20_4 sn-1,salmon,0.825270362036638,0.568185020953663,M27-LPC 20_4 sn-1
LPC 20_3 sn-1,darkmagenta,0.936010868799358,0.354512278205642,M7-LPC 20_3 sn-1
LPC 20_2 sn-1,black,0.837613926402496,0.806285529843873,M1-LPC 20_2 sn-1
LPC 20_2 sn-2,black,0.876237692470092,0.922693341348898,M1-LPC 20_2 sn-2
LPC 20_1 sn-2,black,0.865653066546714,1.08196220174695,M1-LPC 20_1 sn-2
LPC 20_1 sn-1,black,0.859538332620246,1.09381897616135,M1-LPC 20_1 sn-1
LPC 20_0 sn-1,darkgrey,0.898714761987331,0.549278375878518,M6-LPC 20_0 sn-1
LPC 20_0 sn-2,darkgrey,0.860296781543381,0.449132213875968,M6-LPC 20_0 sn-2
LPC 22_6 sn-1,brown,0.704018182996072,0.90414693332768,M3-LPC 22_6 sn-1
LPC 22_5 sn-1,salmon,0.826112299764702,0.481089063046057,M27-LPC 22_5 sn-1
LPC 22_4,darkmagenta,0.802896065907107,0.107604717140249,M7-LPC 22_4
LPC 22_1,black,0.475188479410992,0.119007566525403,M1-LPC 22_1
LPC 22_0,darkgrey,0.862863623466797,0.401733996233253,M6-LPC 22_0
LPC 24_0,darkgrey,0.882161264179506,0.465906046967002,M6-LPC 24_0
SM 32_2,darkgreen,0.810623737793831,0.272800832372137,M5-SM 32_2
SM 32_1,darkgreen,0.889365960826769,0.402977052020801,M5-SM 32_1
SM 33_2,darkgreen,0.920749294657043,0.575989835556667,M5-SM 33_2
SM 33_1,darkgreen,0.892238294857493,0.547207929194262,M5-SM 33_1
PE O-34_3,darkturquoise,0.759730040657839,0.138427329548958,M11-PE O-34_3
SM 34_2,lightyellow,0.767406316195888,0.222389930664499,M17-SM 34_2
SM 34_1,red,0.833257855436892,0.936300210711797,M24-SM 34_1
PC 30_0,violet,0.914429738151958,0.453563620513358,M32-PC 30_0
SM 35_2,lightyellow,0.911436616780541,0.610829842368885,M17-SM 35_2
PE 34_2,brown,0.640621921156625,0.627504390536703,M3-PE 34_2
PE O-36_5,darkturquoise,0.905258769300162,0.568998902382018,M11-PE O-36_5
SM 36_3,lightyellow,0.787319266538506,0.306064856094303,M17-SM 36_3
SM 36_2,lightyellow,0.922244051558037,0.722052175872821,M17-SM 36_2
PC 32_2,cyan,0.896465130015754,0.654225401874605,M4-PC 32_2
