,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
FFA 18_1,turquoise,0.858650792056296,2.46035411908838,M31-FFA 18_1,-0.0306635439964691,0.758481597412709,0.932126283769128,-0.0433475737795726,0.668485676482638,0.889370974066008
FFA 18_2,purple,0.802604088292938,0.908197072752351,M23-FFA 18_2,-0.0706362536837873,0.478313893693318,0.895130673470853,-0.0756404200921248,0.454480190163003,0.878574733048664
FFA 18_3,greenyellow,0.754714114009842,0.299827885882005,M13-FFA 18_3,-0.0859680256820219,0.387899888877734,0.895130673470853,-0.0837204773831498,0.407594472119178,0.878574733048664
FFA 19_0,turquoise,0.825363418780573,0.862547749224787,M31-FFA 19_0,-0.0304543492618433,0.760079283975308,0.932126283769128,-0.0389887245001095,0.700139701756859,0.901991906048105
FFA 19_1,turquoise,0.693301884026626,1.18360778775692,M31-FFA 19_1,-0.0120286972409847,0.904013867488075,0.942688257541041,-0.0231393016365193,0.819246348873799,0.935455364122009
FFA 20_0,turquoise,0.813886224919362,1.26826750051222,M31-FFA 20_0,0.0657642184168438,0.509251627467281,0.895130673470853,0.0431124437381966,0.670179073763641,0.889370974066008
FFA 20_1,purple,0.74977307335195,0.391740909906556,M23-FFA 20_1,-0.0584479078295355,0.557577289974081,0.89789335071078,-0.0635367679459355,0.529994414442251,0.87871367030389
FFA 20_2,tan,0.92065134930488,1.0320442689502,M30-FFA 20_2,-0.0629621099977769,0.527501552718179,0.89789335071078,-0.0540495514051826,0.593278714630538,0.87871367030389
FFA 20_3,tan,0.808938405303582,0.521546007505424,M30-FFA 20_3,-0.156108818152222,0.115333453744547,0.895130673470853,-0.140458015523096,0.163365514113659,0.878574733048664
FFA 20_4,greenyellow,0.838722657013736,0.482285158903758,M13-FFA 20_4,-0.0510930613700592,0.608269950248705,0.905440002278606,-0.0430750009167367,0.670448888142067,0.889370974066008
FFA 20_5,paleturquoise,0.872707013384843,0.310133777868225,M21-FFA 20_5,-0.0881865908939747,0.375724857651702,0.895130673470853,-0.0820964487234519,0.416783088293384,0.878574733048664
FFA 22_0,purple,0.825757614035436,0.884976307310597,M23-FFA 22_0,-0.0274650666065322,0.783016527308169,0.932126283769128,-0.0319083290487041,0.752646335247638,0.920822519742007
FFA 22_1,tan,0.521600745311784,0.0957557311248014,M30-FFA 22_1,0.0230279361826266,0.817403048843697,0.932126283769128,0.0373276571894134,0.712342325802093,0.901991906048105
FFA 22_2,tan,0.969888956199227,1.04887068055494,M30-FFA 22_2,-0.0134380091374113,0.892831248395521,0.941644441006714,-0.00593584186593621,0.953260639362928,0.995118658801983
FFA 22_5,paleturquoise,0.866433226495818,0.338910702854888,M21-FFA 22_5,-0.115414937142904,0.245673336501573,0.895130673470853,-0.103848351028167,0.303850881159413,0.878574733048664
FFA 22_6,paleturquoise,0.961769470708025,0.511689585966248,M21-FFA 22_6,-0.128065713463171,0.197336024263606,0.895130673470853,-0.1163055349651,0.249177907977103,0.878574733048664
FFA 24_0,turquoise,0.780932184870002,1.17330703609937,M31-FFA 24_0,-0.00156345538509825,0.987494710321658,0.992584889240842,-0.0125619487832385,0.901279630205169,0.970991866795625
FFA 24_1,tan,0.847896452929878,0.439334074961808,M30-FFA 24_1,0.0337354035207115,0.735141023474211,0.932126283769128,0.0373326522851189,0.712305519783128,0.901991906048105
Pyrrolidine,pink,0.703091295732081,0.250015538287679,M22-Pyrrolidine,0.134225947885442,0.176456868449853,0.895130673470853,0.124823379612482,0.215943689666403,0.878574733048664
Valerolactam,grey,-6.03724253938932e-05,0.00467446730737708,M14-Valerolactam,0.070327966706444,0.480241066308431,0.895130673470853,0.0561577232465769,0.578925407388843,0.87871367030389
Choline,pink,0.768739018243667,0.109261768114282,M22-Choline,0.179197310705398,0.070117782203185,0.895130673470853,0.160784262511029,0.110033259722877,0.878574733048664
proline,pink,0.640362309102675,0.0528987257320224,M22-proline,0.0243932070822899,0.806782369252702,0.932126283769128,0.00794076019884066,0.937501539690437,0.995118658801983
leucine,pink,0.846233742296066,0.328311011599217,M22-leucine,0.168555904862458,0.0887593537083844,0.895130673470853,0.14917874319308,0.138517463058284,0.878574733048664
Indoline,pink,0.575517067807118,0.0414293820787617,M22-Indoline,0.159775231132769,0.106934410527094,0.895130673470853,0.153838572389554,0.1264736566136,0.878574733048664
Lysine,darkorange,0.733376395165614,0.111258893874894,M9-Lysine,-0.104024834354988,0.295703068280173,0.895130673470853,-0.104705422223327,0.299855605074568,0.878574733048664
L-Carnitine,darkorange,0.934547390861075,0.475266459999276,M9-L-Carnitine,-0.111847616405074,0.260669782969021,0.895130673470853,-0.124673225644717,0.216500902160036,0.878574733048664
5-Formylsalicylic acid,grey,-0.00622623082800587,0.0265885258990641,M14-5-Formylsalicylic acid,-0.0847568982710303,0.394645073965688,0.895130673470853,-0.0736524287117702,0.466457936626692,0.878574733048664
5-Methoxysalicylic acid,grey,0.0199375923833912,0.0261876625763335,M14-5-Methoxysalicylic acid,-0.073157600748488,0.462709750091879,0.895130673470853,-0.0693996309776683,0.492650719009991,0.87871367030389
1-7-Dimethylxanthine,grey,0.124466106006356,0.240476239871095,M14-1-7-Dimethylxanthine,0.106458099426162,0.284488421747464,0.895130673470853,0.10728489245532,0.288040293422681,0.878574733048664
Propylparaben,lightgreen,0.638838110810899,0.0803751293009072,M16-Propylparaben,-0.157975055390068,0.110996569231409,0.895130673470853,-0.171593241122763,0.0878137328242886,0.878574733048664
L-Tyrosine,royalblue,0.565176236545407,0.0198443578862995,M25-L-Tyrosine,0.191903138271619,0.0521462422132977,0.895130673470853,0.189586898811239,0.0588643556575306,0.878574733048664
Caffeine,grey,0.0740309495468976,0.237680856116058,M14-Caffeine,0.0898491385217904,0.366755330563695,0.895130673470853,0.0901857118519117,0.372211398454013,0.878574733048664
L-Acetylcarnitine(C2),darkorange,0.867858689730093,0.42858634680509,M9-L-Acetylcarnitine(C2),-0.164184835933697,0.0974740381012851,0.895130673470853,-0.163592674980809,0.10387827803928,0.878574733048664
Propionyl-L-carnitine(C3),darkorange,0.877946608798796,0.442271192713292,M9-Propionyl-L-carnitine(C3),-0.140518305298003,0.156852986028549,0.895130673470853,-0.169710577851988,0.0914040391697414,0.878574733048664
Butyrylcarnitine(C4),grey,0.561319970409129,0.0483192961248931,M14-Butyrylcarnitine(C4),0.0195431923137281,0.844657259482765,0.935841849995109,0.00321096049050558,0.974706522219624,0.995118658801983
Valerylcarnitine(C5),grey,0.715383577413329,0.0588736489536386,M14-Valerylcarnitine(C5),0.153752624825383,0.120995052354159,0.895130673470853,0.128395183621,0.202987542386998,0.878574733048664
Hexadecanamide,royalblue,0.847055930624067,0.507634329448478,M25-Hexadecanamide,0.00697499286239253,0.944253060307825,0.969635349049885,-0.00434728337405984,0.96576014892761,0.995118658801983
Hexanoylcarnitine(C6),saddlebrown,0.874720933513506,1.33131296217301,M26-Hexanoylcarnitine(C6),-0.055122812573904,0.580243746676581,0.89789335071078,-0.0574961420198709,0.569897071404921,0.87871367030389
Oleamide,royalblue,0.802082163624689,0.402845512312984,M25-Oleamide,0.0140876138396705,0.887683683286071,0.941644441006714,0.00191515051030314,0.984912313583501,0.995118658801983
Stearamide,royalblue,0.83542300893872,0.280546195715592,M25-Stearamide,-0.0424279952568739,0.670447641508355,0.932126283769128,-0.0494352455599969,0.625241025879544,0.87871367030389
2-Octenoylcarnitine(C8:1),skyblue,0.918906915821615,0.557547283678516,M28-2-Octenoylcarnitine(C8:1),-0.0984151123922583,0.322654275374516,0.895130673470853,-0.0944203351646294,0.350086201318616,0.878574733048664
Octanoylcarnitine(C8),saddlebrown,0.830626939092365,1.61372636351148,M26-Octanoylcarnitine(C8),-0.00669423150802629,0.946493631517219,0.969635349049885,-0.01756538346746,0.862290811909128,0.964914907899604
Decadienoylcarnitine C10:3,skyblue,0.946232304619514,0.620456772847594,M28-Decadienoylcarnitine C10:3,-0.105032272155949,0.29102502437185,0.895130673470853,-0.0944191991699741,0.350092024266734,0.878574733048664
fatty amide C20_1,white,0.813895219679822,0.157524364132634,M33-fatty amide C20_1,0.00628685228796548,0.949745393171939,0.969635349049885,0.00462358019926992,0.963585437797813,0.995118658801983
DecenoylcarnitineC10:2,skyblue,0.827275339716437,0.193992877509155,M28-DecenoylcarnitineC10:2,-0.0598737350997483,0.54798953941434,0.89789335071078,-0.0661759373320816,0.513010642157336,0.87871367030389
Carnitine C10:1,blue,0.874960303018936,1.25794993137751,M2-Carnitine C10:1,-0.0196422845564456,0.843879560653547,0.935841849995109,-0.0296412393655732,0.76971318316896,0.920822519742007
Decanoylcarnitine(C10),saddlebrown,0.860894860296693,1.86530393033343,M26-Decanoylcarnitine(C10),0.0188055056179423,0.850451434791724,0.936938021380712,0.00201326378797036,0.984139468292048,0.995118658801983
17-Hydroxyprogesterone,blue,0.454617907494723,0.057374620920611,M2-17-Hydroxyprogesterone,-0.0608811729007095,0.54126393076843,0.89789335071078,-0.076171787333985,0.451307830041558,0.878574733048664
FFA C22_1,white,0.954079049804397,0.653109670240638,M33-FFA C22_1,0.0297937343103933,0.765131203946066,0.932126283769128,0.0343998467636845,0.734026622138663,0.91168911666904
carnitine C12:2,blue,0.900264585330051,1.47987609697554,M2-carnitine C12:2,-0.0967470596398471,0.330963356579917,0.895130673470853,-0.118087175287448,0.241950857030137,0.878574733048664
fatty amide C22_0,white,0.932677052878934,0.609558555594924,M33-fatty amide C22_0,-0.057462490526956,0.564250227853493,0.89789335071078,-0.0487301917105006,0.630188523018087,0.87871367030389
Carnitine C12:1,saddlebrown,0.921205990976044,1.88584880446917,M26-Carnitine C12:1,-0.104635903185079,0.292859682752084,0.895130673470853,-0.121311579240735,0.229243396233521,0.878574733048664
Carnitine C12:0,saddlebrown,0.968127409709163,2.50280391724091,M26-Carnitine C12:0,-0.0562788887389414,0.572314922029229,0.89789335071078,-0.0847141638258633,0.402031398596549,0.878574733048664
Cortisone,saddlebrown,0.442758792560672,0.19770014848248,M26-Cortisone,0.281790812665577,0.00393107909068218,0.383280211341513,0.277181707065715,0.00524005758571972,0.510905614607672
Hydrocortisone,saddlebrown,0.292235639955178,0.168993579885822,M26-Hydrocortisone,0.0803307780963155,0.41988351124197,0.895130673470853,0.0815965659428868,0.419635408396017,0.878574733048664
carnitine C14:3,blue,0.867861122326125,1.07027709205619,M2-carnitine C14:3,-0.0345776875838102,0.728782035208729,0.932126283769128,-0.0460848048908286,0.648896248839796,0.87871367030389
Tetradecadiencarnitine C14:2,blue,0.913892721516294,1.46237343135077,M2-Tetradecadiencarnitine C14:2,-0.0858193873179456,0.388723961399994,0.895130673470853,-0.102837443946838,0.308607819552566,0.878574733048664
Tetradecenoylcarnitine C14:1,saddlebrown,0.941289783722912,2.28556726538288,M26-Tetradecenoylcarnitine C14:1,-0.0893481721836075,0.369444121021781,0.895130673470853,-0.108753686663528,0.281452496372452,0.878574733048664
Tetradecanoylcarnitine C14,saddlebrown,0.853787469882906,1.32992103769579,M26-Tetradecanoylcarnitine C14,-0.12401944688554,0.211985731466745,0.895130673470853,-0.146508446468421,0.145800558793382,0.878574733048664
Sphingosine-1-phosphate,pink,0.530164355242738,0.0307919796066169,M22-Sphingosine-1-phosphate,0.220452714423448,0.0252438264099714,0.895130673470853,0.212486366049098,0.0337999664431342,0.878574733048664
